sercfr
Group A
Teams:
Position,Team,Played,Won,Draw,Loss,GF,GA,Points
0,Russia,0,0,0,0,0,0,0
1,Saudi Arabia,0,0,0,0,0,0,0
2,Egypt,0,0,0,0,0,0,0
3,Uruguay,0,0,0,0,0,0,0
Games:
Gameid,Date,Time,Venue,Home Team,Guest Team,GH,GG,IsPlayed
1,14/06,17:00,Moscow,Russia,Saudi Arabia,0,0,false
2,15/06,14:00,Yekaterinburg,Egypt,Uruguay,0,0,false
17,19/06,20:00,Saint Petersburg,Russia,Egypt,0,0,false
18,20/06,17:00,Rostov-on-Don,Uruguay,Saudi Arabia,0,0,false
33,25/06,16:00,Samara,Uruguay,Russia,0,0,false
34,25/06,16:00,Volgograd,Saudi Arabia,Egypt,0,0,false
sercfr
Group B
Teams:
Position,Team,Played,Won,Draw,Loss,GF,GA,Points
0,Portugal,0,0,0,0,0,0,0
1,Spain,0,0,0,0,0,0,0
2,Morocco,0,0,0,0,0,0,0
3,Iran,0,0,0,0,0,0,0
Games:
Gameid,Date,Time,Venue,Home Team,Guest Team,GH,GG,IsPlayed
3,15/06,20:00,Sochi,Portugal,Spain,0,0,false
4,15/06,17:00,Saint Petersburg,Morocco,Iran,0,0,false
19,20/06,14:00,Moscow,Portugal,Morocco,0,0,false
20,20/06,20:00,Kazan,Iran,Spain,0,0,false
35,25/06,20:00,Saransk,Iran,Portugal,0,0,false
36,25/06,20:00,Kaliningrad,Spain,Morocco,0,0,false
sercfr
Group C
Teams:
Position,Team,Played,Won,Draw,Loss,GF,GA,Points
0,France,0,0,0,0,0,0,0
1,Australia,0,0,0,0,0,0,0
2,Peru,0,0,0,0,0,0,0
3,Denmark,0,0,0,0,0,0,0
Games:
Gameid,Date,Time,Venue,Home Team,Guest Team,GH,GG,IsPlayed
5,16/06,12:00,Kazan,France,Australia,0,0,false
6,16/06,18:00,Saransk,Peru,Denmark,0,0,false
21,21/06,17:00,Yekaterinburg,France,Peru,0,0,false
22,21/06,14:00,Samara,Denmark,Australia,0,0,false
37,26/06,16:00,Moscow,Denmark,France,0,0,false
38,26/06,17:00,Sochi,Australia,Peru,0,0,false
sercfr
Group D
Teams:
Position,Team,Played,Won,Draw,Loss,GF,GA,Points
0,Argentina,0,0,0,0,0,0,0
1,Iceland,0,0,0,0,0,0,0
2,Croatia,0,0,0,0,0,0,0
3,Nigeria,0,0,0,0,0,0,0
Games:
Gameid,Date,Time,Venue,Home Team,Guest Team,GH,GG,IsPlayed
7,16/06,15:00,Moscow,Argentina,Iceland,0,0,false
8,16/06,21:00,Kaliningrad,Croatia,Nigeria,0,0,false
23,21/06,20:00,Nizhny Novgorod,Argentina,Croatia,0,0,false
24,22/06,17:00,Volgograd,Nigeria,Iceland,0,0,false
39,26/06,20:00,Saint Petersburg,Nigeria,Argentina,0,0,false
40,26/06,20:00,Rostov-on-Don,Iceland,Croatia,0,0,false
sercfr
Group E
Teams:
Position,Team,Played,Won,Draw,Loss,GF,GA,Points
0,Brazil,0,0,0,0,0,0,0
1,Switzerland,0,0,0,0,0,0,0
2,Costa Rica,0,0,0,0,0,0,0
3,Serbia,0,0,0,0,0,0,0
Games:
Gameid,Date,Time,Venue,Home Team,Guest Team,GH,GG,IsPlayed
9,17/06,20:00,Rostov-on-Don,Brazil,Switzerland,0,0,false
10,17/06,14:00,Samara,Costa Rica,Serbia,0,0,false
25,22/06,14:00,Saint Petersburg,Brazil,Costa Rica,0,0,false
26,22/06,20:00,Kaliningrad,Serbia,Switzerland,0,0,false
41,27/06,20:00,Moscow,Serbia,Brazil,0,0,false
42,27/06,20:00,Nizhny Novgorod,Switzerland,Costa Rica,0,0,false
sercfr
Group F
